 2020-Sep-05 03:16  m  110.8954  24.7170
 2020-Sep-05 03:18  m  111.2669  25.0720
 2020-Sep-05 03:20  m  111.6405  25.4261
 2020-Sep-05 03:22  m  112.0162  25.7794
 2020-Sep-05 03:24  m  112.3942  26.1318
 2020-Sep-05 03:26  m  112.7744  26.4832
 2020-Sep-05 03:28  m  113.1569  26.8338
 2020-Sep-05 03:30  m  113.5417  27.1834
 2020-Sep-05 03:32  m  113.9289  27.5320
 2020-Sep-05 03:34  m  114.3185  27.8797
 2020-Sep-05 03:36  m  114.7106  28.2263
 2020-Sep-05 03:38  m  115.1052  28.5719
 2020-Sep-05 03:40  m  115.5024  28.9165
 2020-Sep-05 03:42  m  115.9021  29.2599
 2020-Sep-05 03:44  m  116.3046  29.6023
 2020-Sep-05 03:46  m  116.7097  29.9435
 2020-Sep-05 03:48  m  117.1175  30.2836
 2020-Sep-05 03:50  m  117.5281  30.6225
 2020-Sep-05 03:52  m  117.9416  30.9602
 2020-Sep-05 03:54  m  118.3580  31.2966
 2020-Sep-05 03:56  m  118.7773  31.6318
 2020-Sep-05 03:58  m  119.1996  31.9657
 2020-Sep-05 04:00  m  119.6249  32.2983
 2020-Sep-05 04:02  m  120.0533  32.6296
 2020-Sep-05 04:04  m  120.4848  32.9595
 2020-Sep-05 04:06  m  120.9195  33.2880
 2020-Sep-05 04:08  m  121.3574  33.6150
 2020-Sep-05 04:10  m  121.7987  33.9406
 2020-Sep-05 04:12  m  122.2432  34.2647
 2020-Sep-05 04:14  m  122.6911  34.5873
 2020-Sep-05 04:16  m  123.1425  34.9083
 2020-Sep-05 04:18  m  123.5974  35.2278
 2020-Sep-05 04:20  m  124.0558  35.5456
 2020-Sep-05 04:22  m  124.5178  35.8618
 2020-Sep-05 04:24  m  124.9834  36.1763
 2020-Sep-05 04:26  m  125.4527  36.4891
 2020-Sep-05 04:28  m  125.9258  36.8001
 2020-Sep-05 04:30  m  126.4027  37.1094
 2020-Sep-05 04:32  m  126.8834  37.4168
 2020-Sep-05 04:34  m  127.3680  37.7223
 2020-Sep-05 04:36  m  127.8566  38.0260
 2020-Sep-05 04:38  m  128.3491  38.3277
