 2017-Sep-05 03:16  m  164.3429  35.6666
 2017-Sep-05 03:18  m  164.9166  35.7705
 2017-Sep-05 03:20  m  165.4921  35.8707
 2017-Sep-05 03:22  m  166.0692  35.9673
 2017-Sep-05 03:24  m  166.6480  36.0602
 2017-Sep-05 03:26  m  167.2284  36.1495
 2017-Sep-05 03:28  m  167.8103  36.2350
 2017-Sep-05 03:30  m  168.3937  36.3169
 2017-Sep-05 03:32  m  168.9784  36.3950
 2017-Sep-05 03:34  m  169.5646  36.4694
 2017-Sep-05 03:36  m  170.1520  36.5400
 2017-Sep-05 03:38  m  170.7406  36.6069
 2017-Sep-05 03:40  m  171.3304  36.6699
 2017-Sep-05 03:42  m  171.9213  36.7291
 2017-Sep-05 03:44  m  172.5132  36.7846
 2017-Sep-05 03:46  m  173.1062  36.8361
 2017-Sep-05 03:48  m  173.7000  36.8839
 2017-Sep-05 03:50  m  174.2946  36.9278
 2017-Sep-05 03:52  m  174.8901  36.9678
 2017-Sep-05 03:54  m  175.4862  37.0039
 2017-Sep-05 03:56  m  176.0829  37.0362
 2017-Sep-05 03:58  m  176.6803  37.0645
 2017-Sep-05 04:00  m  177.2781  37.0890
 2017-Sep-05 04:02  m  177.8763  37.1096
 2017-Sep-05 04:04  m  178.4749  37.1263
 2017-Sep-05 04:06  m  179.0738  37.1390
 2017-Sep-05 04:08  m  179.6729  37.1479
 2017-Sep-05 04:10  m  180.2721  37.1528
 2017-Sep-05 04:12  t  180.8714  37.1538
 2017-Sep-05 04:14  m  181.4707  37.1509
 2017-Sep-05 04:16  m  182.0699  37.1441
 2017-Sep-05 04:18  m  182.6689  37.1334
 2017-Sep-05 04:20  m  183.2677  37.1187
 2017-Sep-05 04:22  m  183.8663  37.1002
 2017-Sep-05 04:24  m  184.4644  37.0777
 2017-Sep-05 04:26  m  185.0622  37.0514
 2017-Sep-05 04:28  m  185.6594  37.0211
 2017-Sep-05 04:30  m  186.2561  36.9870
 2017-Sep-05 04:32  m  186.8521  36.9490
 2017-Sep-05 04:34  m  187.4474  36.9072
 2017-Sep-05 04:36  m  188.0419  36.8614
 2017-Sep-05 04:38  m  188.6356  36.8119
 2017-Sep-05 04:40  m  189.2283  36.7585
 2017-Sep-05 04:42  m  189.8201  36.7012
 2017-Sep-05 04:44  m  190.4108  36.6402
 2017-Sep-05 04:46  m  191.0005  36.5753
 2017-Sep-05 04:48  m  191.5889  36.5067
 2017-Sep-05 04:50  m  192.1761  36.4343
 2017-Sep-05 04:52  m  192.7621  36.3582
 2017-Sep-05 04:54  m  193.3466  36.2783
 2017-Sep-05 04:56  m  193.9298  36.1947
 2017-Sep-05 04:58  m  194.5115  36.1074
 2017-Sep-05 05:00  m  195.0916  36.0165
 2017-Sep-05 05:02  m  195.6702  35.9218
 2017-Sep-05 05:04  m  196.2472  35.8236
 2017-Sep-05 05:06  m  196.8224  35.7217
 2017-Sep-05 05:08  m  197.3959  35.6162
 2017-Sep-05 05:10  m  197.9677  35.5072
 2017-Sep-05 05:12  m  198.5376  35.3945
 2017-Sep-05 05:14  m  199.1056  35.2784
 2017-Sep-05 05:16  m  199.6717  35.1588
 2017-Sep-05 05:18  m  200.2359  35.0356
 2017-Sep-05 05:20  m  200.7980  34.9091
 2017-Sep-05 05:22  m  201.3580  34.7790
 2017-Sep-05 05:24  m  201.9160  34.6456
 2017-Sep-05 05:26  m  202.4719  34.5088
 2017-Sep-05 05:28  m  203.0256  34.3687
 2017-Sep-05 05:30  m  203.5771  34.2252
 2017-Sep-05 05:32  m  204.1263  34.0784
 2017-Sep-05 05:34  m  204.6733  33.9283
 2017-Sep-05 05:36  m  205.2180  33.7750
 2017-Sep-05 05:38  m  205.7604  33.6185
 2017-Sep-05 05:40  m  206.3004  33.4588
 2017-Sep-05 05:42  m  206.8381  33.2960
 2017-Sep-05 05:44  m  207.3734  33.1300
 2017-Sep-05 05:46  m  207.9062  32.9609
 2017-Sep-05 05:48  m  208.4366  32.7887
 2017-Sep-05 05:50  m  208.9646  32.6135
 2017-Sep-05 05:52  m  209.4900  32.4353
 2017-Sep-05 05:54  m  210.0130  32.2541
 2017-Sep-05 05:56  m  210.5335  32.0699
 2017-Sep-05 05:58  m  211.0514  31.8829
 2017-Sep-05 06:00  m  211.5668  31.6929
 2017-Sep-05 06:02  m  212.0796  31.5001
 2017-Sep-05 06:04  m  212.5899  31.3044
 2017-Sep-05 06:06  m  213.0976  31.1059
 2017-Sep-05 06:08  m  213.6027  30.9047
 2017-Sep-05 06:10  m  214.1053  30.7007
 2017-Sep-05 06:12  m  214.6053  30.4940
 2017-Sep-05 06:14  m  215.1026  30.2847
 2017-Sep-05 06:16  m  215.5974  30.0726
 2017-Sep-05 06:18  m  216.0896  29.8580
 2017-Sep-05 06:20  m  216.5792  29.6408
 2017-Sep-05 06:22  m  217.0661  29.4210
 2017-Sep-05 06:24  m  217.5505  29.1987
 2017-Sep-05 06:26  m  218.0323  28.9739
 2017-Sep-05 06:28  m  218.5115  28.7466
 2017-Sep-05 06:30  m  218.9881  28.5169
 2017-Sep-05 06:32  m  219.4621  28.2847
 2017-Sep-05 06:34  m  219.9336  28.0502
 2017-Sep-05 06:36  m  220.4025  27.8134
 2017-Sep-05 06:38  m  220.8688  27.5742
 2017-Sep-05 06:40  m  221.3325  27.3327
 2017-Sep-05 06:42  m  221.7938  27.0890
 2017-Sep-05 06:44  m  222.2524  26.8430
 2017-Sep-05 06:46  m  222.7086  26.5948
 2017-Sep-05 06:48  m  223.1623  26.3445
 2017-Sep-05 06:50  m  223.6134  26.0920
 2017-Sep-05 06:52  m  224.0621  25.8374
 2017-Sep-05 06:54  m  224.5083  25.5807
 2017-Sep-05 06:56  m  224.9520  25.3219
 2017-Sep-05 06:58  m  225.3933  25.0611
 2017-Sep-05 07:00  m  225.8322  24.7983
 2017-Sep-05 07:02  m  226.2686  24.5335
 2017-Sep-05 07:04  m  226.7027  24.2667
 2017-Sep-05 07:06  m  227.1344  23.9980
 2017-Sep-05 07:08  m  227.5637  23.7275
 2017-Sep-05 07:10  m  227.9907  23.4550
 2017-Sep-05 07:12  m  228.4153  23.1807
 2017-Sep-05 07:14  m  228.8376  22.9046
 2017-Sep-05 07:16  m  229.2577  22.6266
 2017-Sep-05 07:18  m  229.6754  22.3469
 2017-Sep-05 07:20  m  230.0910  22.0655
 2017-Sep-05 07:22  m  230.5043  21.7823
 2017-Sep-05 07:24  m  230.9153  21.4974
 2017-Sep-05 07:26  m  231.3242  21.2109
 2017-Sep-05 07:28  m  231.7309  20.9227
 2017-Sep-05 07:30  m  232.1355  20.6329
 2017-Sep-05 07:32  m  232.5380  20.3415
 2017-Sep-05 07:34  m  232.9383  20.0485
 2017-Sep-05 07:36  m  233.3366  19.7539
 2017-Sep-05 07:38  m  233.7328  19.4579
 2017-Sep-05 07:40  m  234.1269  19.1603
 2017-Sep-05 07:42  m  234.5191  18.8612
 2017-Sep-05 07:44  m  234.9092  18.5607
 2017-Sep-05 07:46  m  235.2974  18.2587
 2017-Sep-05 07:48  m  235.6836  17.9553
 2017-Sep-05 07:50  m  236.0679  17.6505
 2017-Sep-05 07:52  m  236.4503  17.3443
 2017-Sep-05 07:54  m  236.8308  17.0368
 2017-Sep-05 07:56  m  237.2095  16.7279
 2017-Sep-05 07:58  m  237.5863  16.4177
 2017-Sep-05 08:00  m  237.9614  16.1062
 2017-Sep-05 08:02  m  238.3346  15.7935
 2017-Sep-05 08:04  m  238.7061  15.4795
 2017-Sep-05 08:06  m  239.0758  15.1642
 2017-Sep-05 08:08  m  239.4439  14.8478
 2017-Sep-05 08:10  m  239.8102  14.5301
 2017-Sep-05 08:12  m  240.1749  14.2113
 2017-Sep-05 08:14  m  240.5379  13.8913
 2017-Sep-05 08:16  m  240.8993  13.5702
 2017-Sep-05 08:18  m  241.2591  13.2479
 2017-Sep-05 08:20  m  241.6173  12.9246
 2017-Sep-05 08:22  m  241.9740  12.6002
 2017-Sep-05 08:24  m  242.3292  12.2747
 2017-Sep-05 08:26  m  242.6829  11.9481
 2017-Sep-05 08:28  m  243.0351  11.6205
 2017-Sep-05 08:30  m  243.3858  11.2919
 2017-Sep-05 08:32  m  243.7351  10.9623
 2017-Sep-05 08:34  m  244.0831  10.6318
 2017-Sep-05 08:36  m  244.4296  10.3002
 2017-Sep-05 08:38  m  244.7748   9.9678
 2017-Sep-05 08:40  m  245.1186   9.6344
 2017-Sep-05 08:42  m  245.4612   9.3000
 2017-Sep-05 08:44  m  245.8024   8.9648
 2017-Sep-05 08:46  m  246.1424   8.6287
 2017-Sep-05 08:48  m  246.4812   8.2917
 2017-Sep-05 08:50  m  246.8188   7.9539
 2017-Sep-05 08:52  m  247.1551   7.6152
 2017-Sep-05 08:54  m  247.4903   7.2758
 2017-Sep-05 08:56  m  247.8244   6.9355
 2017-Sep-05 08:58  m  248.1574   6.5944
 2017-Sep-05 09:00 Am  248.4892   6.2525
