 2018-Apr-01 03:06  m  131.2141  33.5610
 2018-Apr-01 03:08  m  131.6979  33.8363
 2018-Apr-01 03:10  m  132.1851  34.1095
 2018-Apr-01 03:12  m  132.6756  34.3805
 2018-Apr-01 03:14  m  133.1696  34.6494
 2018-Apr-01 03:16  m  133.6669  34.9160
 2018-Apr-01 03:18  m  134.1677  35.1804
 2018-Apr-01 03:20  m  134.6719  35.4425
 2018-Apr-01 03:22  m  135.1797  35.7022
 2018-Apr-01 03:24  m  135.6909  35.9596
 2018-Apr-01 03:26  m  136.2057  36.2146
 2018-Apr-01 03:28  m  136.7240  36.4672
 2018-Apr-01 03:30  m  137.2459  36.7172
 2018-Apr-01 03:32  m  137.7715  36.9648
 2018-Apr-01 03:34  m  138.3006  37.2098
 2018-Apr-01 03:36  m  138.8333  37.4522
 2018-Apr-01 03:38  m  139.3697  37.6919
 2018-Apr-01 03:40  m  139.9098  37.9290
 2018-Apr-01 03:42  m  140.4536  38.1634
 2018-Apr-01 03:44  m  141.0010  38.3950
 2018-Apr-01 03:46  m  141.5521  38.6238
 2018-Apr-01 03:48  m  142.1069  38.8497
 2018-Apr-01 03:50  m  142.6654  39.0728
 2018-Apr-01 03:52  m  143.2277  39.2929
 2018-Apr-01 03:54  m  143.7936  39.5101
 2018-Apr-01 03:56  m  144.3632  39.7243
 2018-Apr-01 03:58  m  144.9366  39.9354
 2018-Apr-01 04:00  m  145.5137  40.1435
 2018-Apr-01 04:02  m  146.0944  40.3484
 2018-Apr-01 04:04  m  146.6789  40.5501
 2018-Apr-01 04:06  m  147.2671  40.7487
 2018-Apr-01 04:08  m  147.8589  40.9439
 2018-Apr-01 04:10  m  148.4543  41.1359
 2018-Apr-01 04:12  m  149.0534  41.3245
 2018-Apr-01 04:14  m  149.6561  41.5097
 2018-Apr-01 04:16  m  150.2624  41.6915
 2018-Apr-01 04:18  m  150.8723  41.8699
 2018-Apr-01 04:20  m  151.4857  42.0447
 2018-Apr-01 04:22  m  152.1026  42.2160
 2018-Apr-01 04:24  m  152.7230  42.3837
 2018-Apr-01 04:26  m  153.3469  42.5477
 2018-Apr-01 04:28  m  153.9741  42.7081
 2018-Apr-01 04:30  m  154.6047  42.8648
 2018-Apr-01 04:32  m  155.2386  43.0177
 2018-Apr-01 04:34  m  155.8758  43.1669
 2018-Apr-01 04:36  m  156.5162  43.3122
 2018-Apr-01 04:38  m  157.1597  43.4536
 2018-Apr-01 04:40  m  157.8064  43.5911
 2018-Apr-01 04:42  m  158.4561  43.7247
 2018-Apr-01 04:44  m  159.1088  43.8543
 2018-Apr-01 04:46  m  159.7644  43.9799
 2018-Apr-01 04:48  m  160.4229  44.1015
 2018-Apr-01 04:50  m  161.0841  44.2189
 2018-Apr-01 04:52  m  161.7481  44.3323
 2018-Apr-01 04:54  m  162.4147  44.4415
 2018-Apr-01 04:56  m  163.0838  44.5465
 2018-Apr-01 04:58  m  163.7554  44.6473
 2018-Apr-01 05:00  m  164.4294  44.7439
 2018-Apr-01 05:02  m  165.1057  44.8362
 2018-Apr-01 05:04  m  165.7842  44.9242
 2018-Apr-01 05:06  m  166.4648  45.0079
 2018-Apr-01 05:08  m  167.1474  45.0872
 2018-Apr-01 05:10  m  167.8319  45.1622
 2018-Apr-01 05:12  m  168.5183  45.2327
 2018-Apr-01 05:14  m  169.2064  45.2989
 2018-Apr-01 05:16  m  169.8961  45.3606
 2018-Apr-01 05:18  m  170.5873  45.4178
 2018-Apr-01 05:20  m  171.2799  45.4706
 2018-Apr-01 05:22  m  171.9738  45.5189
 2018-Apr-01 05:24  m  172.6688  45.5626
 2018-Apr-01 05:26  m  173.3650  45.6018
 2018-Apr-01 05:28  m  174.0620  45.6365
 2018-Apr-01 05:30  m  174.7600  45.6667
 2018-Apr-01 05:32  m  175.4586  45.6923
 2018-Apr-01 05:34  m  176.1579  45.7133
 2018-Apr-01 05:36  m  176.8576  45.7297
 2018-Apr-01 05:38  m  177.5577  45.7416
 2018-Apr-01 05:40  m  178.2580  45.7488
 2018-Apr-01 05:42  m  178.9585  45.7515
 2018-Apr-01 05:44  t  179.6589  45.7496
 2018-Apr-01 05:46  m  180.3593  45.7431
 2018-Apr-01 05:48  m  181.0594  45.7321
 2018-Apr-01 05:50  m  181.7592  45.7164
 2018-Apr-01 05:52  m  182.4585  45.6962
 2018-Apr-01 05:54  m  183.1572  45.6714
 2018-Apr-01 05:56  m  183.8552  45.6420
 2018-Apr-01 05:58  m  184.5523  45.6080
 2018-Apr-01 06:00  m  185.2485  45.5696
 2018-Apr-01 06:02  m  185.9437  45.5266
 2018-Apr-01 06:04  m  186.6377  45.4790
 2018-Apr-01 06:06  m  187.3304  45.4270
 2018-Apr-01 06:08  m  188.0217  45.3704
 2018-Apr-01 06:10  m  188.7115  45.3094
 2018-Apr-01 06:12  m  189.3998  45.2440
 2018-Apr-01 06:14  m  190.0862  45.1741
 2018-Apr-01 06:16  m  190.7709  45.0998
 2018-Apr-01 06:18  m  191.4537  45.0211
 2018-Apr-01 06:20  m  192.1344  44.9381
 2018-Apr-01 06:22  m  192.8131  44.8507
 2018-Apr-01 06:24  m  193.4895  44.7589
 2018-Apr-01 06:26  m  194.1636  44.6629
 2018-Apr-01 06:28  m  194.8353  44.5627
 2018-Apr-01 06:30  m  195.5046  44.4582
 2018-Apr-01 06:32  m  196.1713  44.3495
 2018-Apr-01 06:34  m  196.8354  44.2366
 2018-Apr-01 06:36  m  197.4967  44.1196
 2018-Apr-01 06:38  m  198.1553  43.9985
 2018-Apr-01 06:40  m  198.8110  43.8733
 2018-Apr-01 06:42  m  199.4638  43.7441
 2018-Apr-01 06:44  m  200.1136  43.6108
 2018-Apr-01 06:46  m  200.7603  43.4736
 2018-Apr-01 06:48  m  201.4039  43.3325
 2018-Apr-01 06:50  m  202.0443  43.1875
 2018-Apr-01 06:52  m  202.6815  43.0386
 2018-Apr-01 06:54  m  203.3154  42.8859
 2018-Apr-01 06:56  m  203.9459  42.7294
 2018-Apr-01 06:58  m  204.5731  42.5692
 2018-Apr-01 07:00  m  205.1968  42.4053
 2018-Apr-01 07:02  m  205.8171  42.2377
 2018-Apr-01 07:04  m  206.4339  42.0665
 2018-Apr-01 07:06  m  207.0472  41.8917
 2018-Apr-01 07:08  m  207.6569  41.7134
 2018-Apr-01 07:10  m  208.2630  41.5316
