*******************************************************************************
Ephemeris / WWW_USER Sun Dec  6 16:09:47 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2020-Mar-05 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Jun-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2020-Mar-05 00:00 Am  140.8026  69.4886
 2020-Mar-05 00:02 Am  141.8999  69.7227
 2020-Mar-05 03:04  m  246.4885  58.9821
 2020-Mar-05 03:06  m  247.0422  58.6383
 2020-Mar-05 03:08  m  247.5871  58.2931
 2020-Mar-05 03:10  m  248.1236  57.9466
 2020-Mar-05 03:12  m  248.6519  57.5988
 2020-Mar-05 03:14  m  249.1723  57.2498
 2020-Mar-05 03:16  m  249.6850  56.8996
 2020-Mar-05 03:18  m  250.1902  56.5483
 2020-Mar-05 03:20  m  250.6882  56.1958
 2020-Mar-05 03:22  m  251.1791  55.8424
 2020-Mar-05 03:24  m  251.6632  55.4879
 2020-Mar-05 03:26  m  252.1406  55.1325
 2020-Mar-05 03:28  m  252.6116  54.7761
 2020-Mar-05 03:30  m  253.0764  54.4189
 2020-Mar-05 03:32  m  253.5351  54.0607
 2020-Mar-05 03:34  m  253.9879  53.7018
 2020-Mar-05 03:36  m  254.4350  53.3421
 2020-Mar-05 03:38  m  254.8765  52.9816
 2020-Mar-05 03:40  m  255.3127  52.6204
 2020-Mar-05 03:42  m  255.7436  52.2585
 2020-Mar-05 03:44  m  256.1694  51.8960
 2020-Mar-05 03:46  m  256.5903  51.5328
 2020-Mar-05 03:48  m  257.0064  51.1690
 2020-Mar-05 03:50  m  257.4179  50.8046
 2020-Mar-05 03:52  m  257.8248  50.4397
 2020-Mar-05 03:54  m  258.2274  50.0742
 2020-Mar-05 03:56  m  258.6256  49.7082
 2020-Mar-05 03:58  m  259.0198  49.3417
 2020-Mar-05 04:00  m  259.4099  48.9748
 2020-Mar-05 04:02  m  259.7961  48.6074
 2020-Mar-05 04:04  m  260.1785  48.2397
 2020-Mar-05 04:06  m  260.5572  47.8715
 2020-Mar-05 04:08  m  260.9323  47.5029
 2020-Mar-05 04:10  m  261.3040  47.1340
 2020-Mar-05 04:12  m  261.6723  46.7648
 2020-Mar-05 04:14  m  262.0372  46.3952
 2020-Mar-05 04:16  m  262.3990  46.0253
 2020-Mar-05 04:18  m  262.7577  45.6552
 2020-Mar-05 04:20  m  263.1134  45.2847
 2020-Mar-05 04:22  m  263.4662  44.9141
 2020-Mar-05 04:24  m  263.8161  44.5432
 2020-Mar-05 04:26  m  264.1632  44.1721
 2020-Mar-05 04:28  m  264.5077  43.8007
 2020-Mar-05 04:30  m  264.8495  43.4292
 2020-Mar-05 04:32  m  265.1888  43.0576
 2020-Mar-05 04:34  m  265.5257  42.6858
 2020-Mar-05 04:36  m  265.8602  42.3138
 2020-Mar-05 04:38  m  266.1923  41.9417
 2020-Mar-05 04:40  m  266.5223  41.5695
 2020-Mar-05 04:42  m  266.8500  41.1972
 2020-Mar-05 04:44  m  267.1756  40.8248
 2020-Mar-05 04:46  m  267.4991  40.4523
 2020-Mar-05 04:48  m  267.8207  40.0798
 2020-Mar-05 04:50  m  268.1403  39.7072
 2020-Mar-05 04:52  m  268.4580  39.3346
 2020-Mar-05 04:54  m  268.7739  38.9620
 2020-Mar-05 04:56  m  269.0880  38.5893
 2020-Mar-05 04:58  m  269.4004  38.2167
 2020-Mar-05 05:00  m  269.7112  37.8440
 2020-Mar-05 05:02  m  270.0203  37.4714
 2020-Mar-05 05:04  m  270.3278  37.0988
 2020-Mar-05 05:06  m  270.6339  36.7263
 2020-Mar-05 05:08  m  270.9385  36.3538
 2020-Mar-05 05:10  m  271.2416  35.9814
 2020-Mar-05 05:12  m  271.5434  35.6090
 2020-Mar-05 05:14  m  271.8439  35.2367
 2020-Mar-05 05:16  m  272.1430  34.8646
 2020-Mar-05 05:18  m  272.4410  34.4925
 2020-Mar-05 05:20  m  272.7377  34.1206
 2020-Mar-05 05:22  m  273.0332  33.7487
 2020-Mar-05 05:24  m  273.3277  33.3771
 2020-Mar-05 05:26  m  273.6210  33.0055
 2020-Mar-05 05:28  m  273.9133  32.6341
 2020-Mar-05 05:30  m  274.2046  32.2629
 2020-Mar-05 05:32  m  274.4950  31.8918
 2020-Mar-05 05:34  m  274.7844  31.5210
 2020-Mar-05 05:36  m  275.0729  31.1503
 2020-Mar-05 05:38  m  275.3605  30.7798
 2020-Mar-05 05:40  m  275.6473  30.4095
 2020-Mar-05 05:42  m  275.9333  30.0395
 2020-Mar-05 05:44  m  276.2185  29.6696
 2020-Mar-05 05:46  m  276.5031  29.3000
 2020-Mar-05 05:48  m  276.7869  28.9307
 2020-Mar-05 05:50  m  277.0700  28.5616
 2020-Mar-05 05:52  m  277.3525  28.1927
 2020-Mar-05 05:54  m  277.6344  27.8241
 2020-Mar-05 05:56  m  277.9157  27.4558
 2020-Mar-05 05:58  m  278.1965  27.0878
 2020-Mar-05 06:00  m  278.4768  26.7201
 2020-Mar-05 06:02  m  278.7565  26.3527
 2020-Mar-05 06:04  m  279.0358  25.9856
 2020-Mar-05 06:06  m  279.3147  25.6188
 2020-Mar-05 06:08  m  279.5931  25.2523
 2020-Mar-05 06:10  m  279.8712  24.8862
 2020-Mar-05 06:12  m  280.1489  24.5204
 2020-Mar-05 06:14  m  280.4262  24.1550
 2020-Mar-05 06:16  m  280.7033  23.7899
 2020-Mar-05 06:18  m  280.9801  23.4252
 2020-Mar-05 06:20  m  281.2566  23.0609
 2020-Mar-05 06:22  m  281.5329  22.6969
 2020-Mar-05 06:24  m  281.8090  22.3334
 2020-Mar-05 06:26  m  282.0849  21.9702
 2020-Mar-05 06:28  m  282.3606  21.6075
 2020-Mar-05 06:30  m  282.6363  21.2451
 2020-Mar-05 06:32  m  282.9117  20.8832
 2020-Mar-05 06:34  m  283.1871  20.5218
 2020-Mar-05 06:36  m  283.4625  20.1608
 2020-Mar-05 06:38  m  283.7377  19.8002
 2020-Mar-05 06:40  m  284.0130  19.4401
 2020-Mar-05 06:42  m  284.2882  19.0804
 2020-Mar-05 06:44  m  284.5635  18.7212
 2020-Mar-05 06:46  m  284.8388  18.3625
 2020-Mar-05 06:48  m  285.1141  18.0043
 2020-Mar-05 06:50  m  285.3896  17.6466
 2020-Mar-05 06:52  m  285.6651  17.2894
 2020-Mar-05 06:54  m  285.9408  16.9327
 2020-Mar-05 06:56  m  286.2166  16.5766
 2020-Mar-05 06:58  m  286.4925  16.2209
 2020-Mar-05 07:00  m  286.7687  15.8658
 2020-Mar-05 07:02  m  287.0450  15.5113
 2020-Mar-05 07:04  m  287.3216  15.1573
 2020-Mar-05 07:06  m  287.5983  14.8039
 2020-Mar-05 07:08  m  287.8754  14.4511
 2020-Mar-05 07:10  m  288.1527  14.0988
 2020-Mar-05 07:12  m  288.4304  13.7471
 2020-Mar-05 07:14  m  288.7083  13.3961
 2020-Mar-05 07:16  m  288.9866  13.0456
 2020-Mar-05 07:18  m  289.2652  12.6958
 2020-Mar-05 07:20  m  289.5442  12.3466
 2020-Mar-05 07:22  m  289.8236  11.9980
 2020-Mar-05 07:24  m  290.1034  11.6501
 2020-Mar-05 07:26  m  290.3836  11.3028
 2020-Mar-05 07:28  m  290.6642  10.9562
 2020-Mar-05 07:30  m  290.9454  10.6103
 2020-Mar-05 07:32  m  291.2270  10.2650
 2020-Mar-05 07:34  m  291.5091   9.9205
 2020-Mar-05 07:36  m  291.7917   9.5766
 2020-Mar-05 07:38  m  292.0748   9.2334
 2020-Mar-05 07:40  m  292.3585   8.8910
 2020-Mar-05 07:42  m  292.6427   8.5493
 2020-Mar-05 07:44  m  292.9276   8.2083
 2020-Mar-05 07:46  m  293.2130   7.8681
 2020-Mar-05 07:48  m  293.4990   7.5287
 2020-Mar-05 07:50  m  293.7857   7.1900
 2020-Mar-05 07:52  m  294.0730   6.8520
 2020-Mar-05 07:54  m  294.3610   6.5149
 2020-Mar-05 07:56  m  294.6497   6.1786
 2020-Mar-05 07:58  m  294.9391   5.8431
 2020-Mar-05 08:00  m  295.2292   5.5084
 2020-Mar-05 08:02  m  295.5200   5.1745
 2020-Mar-05 08:04  m  295.8116   4.8414
 2020-Mar-05 08:06  m  296.1040   4.5093
 2020-Mar-05 08:08  m  296.3971   4.1779
 2020-Mar-05 08:10  m  296.6910   3.8475
 2020-Mar-05 08:12  m  296.9858   3.5179
 2020-Mar-05 08:14  m  297.2813   3.1892
 2020-Mar-05 08:16  m  297.5778   2.8614
 2020-Mar-05 08:18  m  297.8751   2.5346
 2020-Mar-05 08:20  m  298.1732   2.2086
 2020-Mar-05 08:22  m  298.4723   1.8836
 2020-Mar-05 08:24  m  298.7723   1.5595
 2020-Mar-05 08:26  m  299.0732   1.2364
 2020-Mar-05 08:28  m  299.3750   0.9143
 2020-Mar-05 08:30  m  299.6778   0.5932
 2020-Mar-05 08:32  m  299.9816   0.2730
 2020-Mar-05 08:34  m  300.2863  -0.0461
 2020-Mar-05 08:36  m  300.5921  -0.3643
 2020-Mar-05 08:38  m  300.8989  -0.6814
 2020-Mar-05 08:40  s  301.2067  -0.9974
 2020-Mar-05 08:42     301.5156  -1.3124
 2020-Mar-05 08:44     301.8256  -1.6264
 2020-Mar-05 08:46     302.1366  -1.9392
 2020-Mar-05 08:48     302.4487  -2.2510
 2020-Mar-05 08:50     302.7620  -2.5617
 2020-Mar-05 08:52     303.0763  -2.8712
 2020-Mar-05 08:54     303.3918  -3.1796
 2020-Mar-05 08:56     303.7085  -3.4869
 2020-Mar-05 08:58     304.0263  -3.7930
 2020-Mar-05 09:00     304.3453  -4.0980
 2020-Mar-05 09:02     304.6656  -4.4017
 2020-Mar-05 09:04     304.9870  -4.7043
 2020-Mar-05 09:06     305.3097  -5.0057
 2020-Mar-05 09:08     305.6336  -5.3058
 2020-Mar-05 09:10     305.9587  -5.6047
 2020-Mar-05 09:12     306.2852  -5.9024
 2020-Mar-05 09:14     306.6129  -6.1987
 2020-Mar-05 09:16     306.9419  -6.4938
 2020-Mar-05 09:18     307.2723  -6.7876
 2020-Mar-05 09:20     307.6040  -7.0801
 2020-Mar-05 09:22     307.9370  -7.3713
 2020-Mar-05 09:24     308.2713  -7.6612
 2020-Mar-05 09:26     308.6071  -7.9496
 2020-Mar-05 09:28     308.9442  -8.2368
 2020-Mar-05 09:30     309.2827  -8.5225
 2020-Mar-05 09:32     309.6226  -8.8068
 2020-Mar-05 09:34     309.9640  -9.0897
 2020-Mar-05 09:36     310.3067  -9.3712
 2020-Mar-05 09:38     310.6509  -9.6513
 2020-Mar-05 09:40     310.9966  -9.9299
 2020-Mar-05 09:42     311.3438 -10.2070
 2020-Mar-05 09:44     311.6924 -10.4826
 2020-Mar-05 09:46     312.0425 -10.7567
 2020-Mar-05 09:48     312.3941 -11.0293
 2020-Mar-05 09:50     312.7473 -11.3003
 2020-Mar-05 09:52     313.1020 -11.5698
 2020-Mar-05 09:54     313.4582 -11.8377
 2020-Mar-05 09:56     313.8159 -12.1041
 2020-Mar-05 09:58 A   314.1752 -12.3688
 2020-Mar-05 10:00 A   314.5361 -12.6319
 2020-Mar-05 10:02 A   314.8986 -12.8933
 2020-Mar-05 10:04 A   315.2627 -13.1531
 2020-Mar-05 10:06 A   315.6283 -13.4112
 2020-Mar-05 10:08 A   315.9956 -13.6676
 2020-Mar-05 10:10 A   316.3645 -13.9223
 2020-Mar-05 10:12 A   316.7350 -14.1753
 2020-Mar-05 10:14 A   317.1072 -14.4265
 2020-Mar-05 10:16 A   317.4810 -14.6760
 2020-Mar-05 10:18 A   317.8564 -14.9237
 2020-Mar-05 10:20 A   318.2335 -15.1696
 2020-Mar-05 10:22 A   318.6123 -15.4136
 2020-Mar-05 10:24 A   318.9928 -15.6559
 2020-Mar-05 10:26 A   319.3749 -15.8963
