 2023-Sep-01 03:30  m  132.9161  32.2548
 2023-Sep-01 03:32  m  133.3855  32.5355
 2023-Sep-01 03:34  m  133.8581  32.8142
 2023-Sep-01 03:36  m  134.3341  33.0908
 2023-Sep-01 03:38  m  134.8133  33.3653
 2023-Sep-01 03:40  m  135.2959  33.6376
 2023-Sep-01 03:42  m  135.7819  33.9077
 2023-Sep-01 03:44  m  136.2712  34.1756
 2023-Sep-01 03:46  m  136.7640  34.4412
 2023-Sep-01 03:48  m  137.2602  34.7046
 2023-Sep-01 03:50  m  137.7598  34.9655
 2023-Sep-01 03:52  m  138.2629  35.2241
 2023-Sep-01 03:54  m  138.7695  35.4803
 2023-Sep-01 03:56  m  139.2797  35.7341
 2023-Sep-01 03:58  m  139.7934  35.9853
 2023-Sep-01 04:00  m  140.3106  36.2341
 2023-Sep-01 04:02  m  140.8314  36.4802
 2023-Sep-01 04:04  m  141.3558  36.7238
 2023-Sep-01 04:06  m  141.8838  36.9647
 2023-Sep-01 04:08  m  142.4155  37.2030
 2023-Sep-01 04:10  m  142.9507  37.4385
 2023-Sep-01 04:12  m  143.4896  37.6713
 2023-Sep-01 04:14  m  144.0322  37.9013
 2023-Sep-01 04:16  m  144.5784  38.1285
 2023-Sep-01 04:18  m  145.1282  38.3528
 2023-Sep-01 04:20  m  145.6817  38.5741
 2023-Sep-01 04:22  m  146.2389  38.7925
 2023-Sep-01 04:24  m  146.7997  39.0080
 2023-Sep-01 04:26  m  147.3642  39.2203
 2023-Sep-01 04:28  m  147.9324  39.4297
 2023-Sep-01 04:30  m  148.5042  39.6359
 2023-Sep-01 04:32  m  149.0796  39.8389
 2023-Sep-01 04:34  m  149.6587  40.0387
 2023-Sep-01 04:36  m  150.2414  40.2353
 2023-Sep-01 04:38  m  150.8277  40.4287
 2023-Sep-01 04:40  m  151.4175  40.6187
 2023-Sep-01 04:42  m  152.0110  40.8053
 2023-Sep-01 04:44  m  152.6080  40.9886
 2023-Sep-01 04:46  m  153.2085  41.1684
 2023-Sep-01 04:48  m  153.8125  41.3447
 2023-Sep-01 04:50  m  154.4199  41.5175
 2023-Sep-01 04:52  m  155.0308  41.6868
 2023-Sep-01 04:54  m  155.6451  41.8524
 2023-Sep-01 04:56  m  156.2627  42.0144
 2023-Sep-01 04:58  m  156.8837  42.1728
 2023-Sep-01 05:00  m  157.5079  42.3274
 2023-Sep-01 05:02  m  158.1354  42.4783
 2023-Sep-01 05:04  m  158.7660  42.6254
 2023-Sep-01 05:06  m  159.3998  42.7686
 2023-Sep-01 05:08  m  160.0367  42.9080
 2023-Sep-01 05:10  m  160.6766  43.0435
 2023-Sep-01 05:12  m  161.3194  43.1751
 2023-Sep-01 05:14  m  161.9651  43.3027
