 2017-Sep-01 03:32  m  218.6333  19.9346
 2017-Sep-01 03:34  m  219.0529  19.7008
 2017-Sep-01 03:36  m  219.4706  19.4649
 2017-Sep-01 03:38  m  219.8863  19.2269
 2017-Sep-01 03:40  m  220.3001  18.9869
 2017-Sep-01 03:42  m  220.7118  18.7448
 2017-Sep-01 03:44  m  221.1217  18.5008
 2017-Sep-01 03:46  m  221.5295  18.2547
 2017-Sep-01 03:48  m  221.9355  18.0067
 2017-Sep-01 03:50  m  222.3395  17.7568
 2017-Sep-01 03:52  m  222.7416  17.5049
 2017-Sep-01 03:54  m  223.1417  17.2511
 2017-Sep-01 03:56  m  223.5400  16.9955
 2017-Sep-01 03:58  m  223.9364  16.7380
 2017-Sep-01 04:00  m  224.3309  16.4786
 2017-Sep-01 04:02  m  224.7235  16.2175
 2017-Sep-01 04:04  m  225.1143  15.9546
 2017-Sep-01 04:06  m  225.5032  15.6899
 2017-Sep-01 04:08  m  225.8903  15.4234
 2017-Sep-01 04:10  m  226.2755  15.1552
 2017-Sep-01 04:12  m  226.6589  14.8853
 2017-Sep-01 04:14  m  227.0406  14.6138
 2017-Sep-01 04:16  m  227.4204  14.3405
 2017-Sep-01 04:18  m  227.7985  14.0657
 2017-Sep-01 04:20  m  228.1748  13.7892
 2017-Sep-01 04:22  m  228.5494  13.5110
 2017-Sep-01 04:24  m  228.9222  13.2314
 2017-Sep-01 04:26  m  229.2934  12.9501
 2017-Sep-01 04:28  m  229.6628  12.6673
 2017-Sep-01 04:30  m  230.0305  12.3830
 2017-Sep-01 04:32  m  230.3965  12.0971
 2017-Sep-01 04:34  m  230.7609  11.8098
 2017-Sep-01 04:36  m  231.1237  11.5210
 2017-Sep-01 04:38  m  231.4848  11.2307
 2017-Sep-01 04:40  m  231.8443  10.9391
 2017-Sep-01 04:42  m  232.2022  10.6460
 2017-Sep-01 04:44  m  232.5585  10.3515
 2017-Sep-01 04:46  m  232.9133  10.0556
 2017-Sep-01 04:48  m  233.2665   9.7584
 2017-Sep-01 04:50  m  233.6181   9.4598
 2017-Sep-01 04:52  m  233.9683   9.1599
 2017-Sep-01 04:54  m  234.3169   8.8587
 2017-Sep-01 04:56  m  234.6641   8.5562
 2017-Sep-01 04:58  m  235.0098   8.2524
 2017-Sep-01 05:00  m  235.3541   7.9474
 2017-Sep-01 05:02  m  235.6969   7.6412
 2017-Sep-01 05:04  m  236.0383   7.3337
 2017-Sep-01 05:06  m  236.3783   7.0250
 2017-Sep-01 05:08  m  236.7169   6.7151
 2017-Sep-01 05:10  m  237.0542   6.4040
 2017-Sep-01 05:12  m  237.3901   6.0918
 2017-Sep-01 05:14  m  237.7247   5.7784
 2017-Sep-01 05:16  m  238.0580   5.4639
 2017-Sep-01 05:18  m  238.3900   5.1483
 2017-Sep-01 05:20  m  238.7207   4.8316
 2017-Sep-01 05:22  m  239.0501   4.5138
 2017-Sep-01 05:24  m  239.3783   4.1950
 2017-Sep-01 05:26  m  239.7053   3.8751
 2017-Sep-01 05:28  m  240.0311   3.5541
 2017-Sep-01 05:30  m  240.3557   3.2322
 2017-Sep-01 05:32  m  240.6791   2.9092
 2017-Sep-01 05:34  m  241.0014   2.5852
 2017-Sep-01 05:36  m  241.3226   2.2603
 2017-Sep-01 05:38  m  241.6426   1.9344
 2017-Sep-01 05:40  m  241.9616   1.6075
