 2020-Dec-05 03:58  m   82.7614  25.9209
 2020-Dec-05 04:00  m   83.0513  26.2884
 2020-Dec-05 04:02  m   83.3419  26.6561
 2020-Dec-05 04:04  m   83.6330  27.0241
 2020-Dec-05 04:06  m   83.9248  27.3924
 2020-Dec-05 04:08  m   84.2173  27.7609
 2020-Dec-05 04:10  m   84.5106  28.1296
 2020-Dec-05 04:12  m   84.8046  28.4986
 2020-Dec-05 04:14  m   85.0994  28.8677
 2020-Dec-05 04:16  m   85.3951  29.2371
 2020-Dec-05 04:18  m   85.6916  29.6066
 2020-Dec-05 04:20  m   85.9890  29.9763
 2020-Dec-05 04:22  m   86.2874  30.3462
 2020-Dec-05 04:24  m   86.5867  30.7163
 2020-Dec-05 04:26  m   86.8870  31.0865
 2020-Dec-05 04:28  m   87.1884  31.4569
 2020-Dec-05 04:30  m   87.4909  31.8273
 2020-Dec-05 04:32  m   87.7945  32.1979
 2020-Dec-05 04:34  m   88.0992  32.5686
 2020-Dec-05 04:36  m   88.4052  32.9394
 2020-Dec-05 04:38  m   88.7124  33.3103
 2020-Dec-05 04:40  m   89.0209  33.6813
 2020-Dec-05 04:42  m   89.3307  34.0524
 2020-Dec-05 04:44  m   89.6419  34.4235
 2020-Dec-05 04:46  m   89.9545  34.7946
 2020-Dec-05 04:48  m   90.2685  35.1658
 2020-Dec-05 04:50  m   90.5841  35.5370
 2020-Dec-05 04:52  m   90.9012  35.9082
 2020-Dec-05 04:54  m   91.2200  36.2794
 2020-Dec-05 04:56  m   91.5404  36.6506
 2020-Dec-05 04:58  m   91.8625  37.0218
 2020-Dec-05 05:00  m   92.1864  37.3929
 2020-Dec-05 05:02  m   92.5120  37.7640
 2020-Dec-05 05:04  m   92.8396  38.1350
 2020-Dec-05 05:06  m   93.1691  38.5059
 2020-Dec-05 05:08  m   93.5005  38.8768
 2020-Dec-05 05:10  m   93.8340  39.2475
 2020-Dec-05 05:12  m   94.1696  39.6182
 2020-Dec-05 05:14  m   94.5073  39.9887
 2020-Dec-05 05:16  m   94.8473  40.3590
 2020-Dec-05 05:18  m   95.1896  40.7292
 2020-Dec-05 05:20  m   95.5342  41.0992
 2020-Dec-05 05:22  m   95.8812  41.4690
 2020-Dec-05 05:24  m   96.2307  41.8386
 2020-Dec-05 05:26  m   96.5828  42.2080
 2020-Dec-05 05:28  m   96.9375  42.5772
 2020-Dec-05 05:30  m   97.2950  42.9461
 2020-Dec-05 05:32  m   97.6552  43.3147
 2020-Dec-05 05:34  m   98.0183  43.6831
 2020-Dec-05 05:36  m   98.3843  44.0511
 2020-Dec-05 05:38  m   98.7534  44.4188
 2020-Dec-05 05:40  m   99.1255  44.7861
 2020-Dec-05 05:42  m   99.5009  45.1531
 2020-Dec-05 05:44  m   99.8796  45.5197
 2020-Dec-05 05:46  m  100.2616  45.8859
 2020-Dec-05 05:48  m  100.6472  46.2517
 2020-Dec-05 05:50  m  101.0363  46.6170
 2020-Dec-05 05:52  m  101.4291  46.9819
 2020-Dec-05 05:54  m  101.8256  47.3463
 2020-Dec-05 05:56  m  102.2261  47.7101
 2020-Dec-05 05:58  m  102.6305  48.0734
 2020-Dec-05 06:00  m  103.0391  48.4362
 2020-Dec-05 06:02  m  103.4519  48.7983
 2020-Dec-05 06:04  m  103.8690  49.1599
 2020-Dec-05 06:06  m  104.2905  49.5208
 2020-Dec-05 06:08  m  104.7167  49.8810
 2020-Dec-05 06:10  m  105.1476  50.2406
 2020-Dec-05 06:12  m  105.5833  50.5994
 2020-Dec-05 06:14  m  106.0240  50.9575
 2020-Dec-05 06:16  m  106.4698  51.3147
 2020-Dec-05 06:18  m  106.9209  51.6712
 2020-Dec-05 06:20  m  107.3774  52.0268
 2020-Dec-05 06:22  m  107.8394  52.3815
 2020-Dec-05 06:24  m  108.3072  52.7353
 2020-Dec-05 06:26  m  108.7809  53.0882
 2020-Dec-05 06:28  m  109.2606  53.4400
 2020-Dec-05 06:30  m  109.7465  53.7908
 2020-Dec-05 06:32  m  110.2389  54.1406
 2020-Dec-05 06:34  m  110.7378  54.4892
 2020-Dec-05 06:36  m  111.2434  54.8367
 2020-Dec-05 06:38  m  111.7560  55.1830
 2020-Dec-05 06:40  m  112.2757  55.5280
 2020-Dec-05 06:42  m  112.8028  55.8717
 2020-Dec-05 06:44  m  113.3375  56.2141
 2020-Dec-05 06:46  m  113.8799  56.5551
 2020-Dec-05 06:48  m  114.4302  56.8947
 2020-Dec-05 06:50  m  114.9888  57.2328
 2020-Dec-05 06:52  m  115.5558  57.5693
 2020-Dec-05 06:54  m  116.1315  57.9042
 2020-Dec-05 06:56  m  116.7161  58.2374
 2020-Dec-05 06:58  m  117.3098  58.5689
 2020-Dec-05 07:00  m  117.9129  58.8985
 2020-Dec-05 07:02  m  118.5257  59.2264
 2020-Dec-05 07:04  m  119.1485  59.5523
 2020-Dec-05 07:06  m  119.7814  59.8761
 2020-Dec-05 07:08  m  120.4248  60.1979
 2020-Dec-05 07:10  m  121.0789  60.5176
 2020-Dec-05 07:12  m  121.7441  60.8350
 2020-Dec-05 07:14  m  122.4206  61.1501
 2020-Dec-05 07:16  m  123.1088  61.4628
 2020-Dec-05 07:18  m  123.8089  61.7730
 2020-Dec-05 07:20  m  124.5212  62.0806
 2020-Dec-05 07:22  m  125.2461  62.3855
 2020-Dec-05 07:24  m  125.9838  62.6877
 2020-Dec-05 07:26  m  126.7347  62.9869
 2020-Dec-05 07:28  m  127.4991  63.2832
 2020-Dec-05 07:30  m  128.2773  63.5765
 2020-Dec-05 07:32  m  129.0697  63.8665
 2020-Dec-05 07:34  m  129.8765  64.1532
 2020-Dec-05 07:36  m  130.6980  64.4364
 2020-Dec-05 07:38  m  131.5347  64.7161
 2020-Dec-05 07:40  m  132.3868  64.9921
 2020-Dec-05 07:42  m  133.2546  65.2643
 2020-Dec-05 07:44  m  134.1384  65.5326
 2020-Dec-05 07:46  m  135.0385  65.7967
 2020-Dec-05 07:48  m  135.9552  66.0567
 2020-Dec-05 07:50  m  136.8887  66.3122
 2020-Dec-05 07:52  m  137.8394  66.5632
 2020-Dec-05 07:54  m  138.8074  66.8096
 2020-Dec-05 07:56  m  139.7930  67.0510
 2020-Dec-05 07:58  m  140.7964  67.2875
 2020-Dec-05 08:00  m  141.8177  67.5189
 2020-Dec-05 08:02  m  142.8571  67.7449
 2020-Dec-05 08:04  m  143.9148  67.9654
 2020-Dec-05 08:06  m  144.9908  68.1802
 2020-Dec-05 08:08  m  146.0851  68.3891
 2020-Dec-05 08:10  m  147.1978  68.5921
 2020-Dec-05 08:12  m  148.3289  68.7888
 2020-Dec-05 08:14  m  149.4782  68.9791
 2020-Dec-05 08:16  m  150.6457  69.1629
 2020-Dec-05 08:18  m  151.8312  69.3399
 2020-Dec-05 08:20  m  153.0344  69.5101
 2020-Dec-05 08:22  m  154.2551  69.6730
 2020-Dec-05 08:24  m  155.4929  69.8288
 2020-Dec-05 08:26  m  156.7474  69.9770
 2020-Dec-05 08:28  m  158.0181  70.1176
 2020-Dec-05 08:30  m  159.3045  70.2505
 2020-Dec-05 08:32  m  160.6061  70.3753
 2020-Dec-05 08:34  m  161.9220  70.4921
 2020-Dec-05 08:36  m  163.2517  70.6006
 2020-Dec-05 08:38  m  164.5943  70.7006
 2020-Dec-05 08:40  m  165.9489  70.7922
 2020-Dec-05 08:42  m  167.3147  70.8750
 2020-Dec-05 08:44  m  168.6906  70.9491
 2020-Dec-05 08:46  m  170.0756  71.0143
 2020-Dec-05 08:48  m  171.4687  71.0705
 2020-Dec-05 08:50  m  172.8687  71.1176
 2020-Dec-05 08:52  m  174.2744  71.1556
 2020-Dec-05 08:54  m  175.6847  71.1844
 2020-Dec-05 08:56  m  177.0982  71.2040
