 20240501 00:00     43.9158 -69.5024
 20240501 00:02     44.9039 -69.2440
 20240501 00:04     45.8711 -68.9812
 20240501 00:06     46.8179 -68.7142
 20240501 00:08     47.7448 -68.4432
 20240501 00:10     48.6521 -68.1683
 20240501 00:12     49.5403 -67.8897
 20240501 00:14     50.4100 -67.6075
 20240501 00:16     51.2616 -67.3218
 20240501 00:18     52.0956 -67.0328
 20240501 00:20     52.9125 -66.7406
 20240501 00:22     53.7126 -66.4454
 20240501 00:24     54.4966 -66.1472
 20240501 00:26     55.2647 -65.8461
 20240501 00:28     56.0176 -65.5423
 20240501 00:30     56.7556 -65.2359
 20240501 00:32     57.4791 -64.9270
 20240501 00:34     58.1886 -64.6157
 20240501 00:36     58.8845 -64.3020
 20240501 00:38     59.5672 -63.9860
 20240501 00:40     60.2371 -63.6679
 20240501 00:42     60.8945 -63.3477
 20240501 00:44     61.5399 -63.0256
 20240501 00:46     62.1736 -62.7015
 20240501 00:48     62.7960 -62.3755
 20240501 00:50     63.4074 -62.0478
 20240501 00:52     64.0081 -61.7183
 20240501 00:54     64.5985 -61.3872
 20240501 00:56     65.1789 -61.0545
 20240501 00:58     65.7495 -60.7203
 20240501 01:00     66.3108 -60.3846
 20240501 01:02     66.8629 -60.0475
 20240501 01:04     67.4061 -59.7090
 20240501 01:06     67.9408 -59.3692
 20240501 01:08     68.4672 -59.0282
 20240501 01:10     68.9854 -58.6859
 20240501 01:12     69.4959 -58.3425
 20240501 01:14     69.9988 -57.9979
 20240501 01:16     70.4943 -57.6522
 20240501 01:18     70.9826 -57.3055
 20240501 01:20     71.4641 -56.9578
 20240501 01:22     71.9388 -56.6091
 20240501 01:24     72.4070 -56.2595
 20240501 01:26     72.8689 -55.9089
 20240501 01:28     73.3247 -55.5575
 20240501 01:30     73.7745 -55.2053
 20240501 01:32     74.2185 -54.8523
 20240501 01:34     74.6570 -54.4984
 20240501 01:36     75.0900 -54.1439
 20240501 01:38     75.5177 -53.7886
 20240501 01:40      75.9403 -53.4327
 20240501 01:42      76.3580 -53.0760
 20240501 01:44      76.7708 -52.7188
 20240501 01:46      77.1789 -52.3609
 20240501 01:48      77.5825 -52.0025
 20240501 01:50      77.9817 -51.6434
 20240501 01:52      78.3766 -51.2839
 20240501 01:54      78.7673 -50.9238
 20240501 01:56      79.1540 -50.5632
 20240501 01:58      79.5368 -50.2022
 20240501 02:00      79.9158 -49.8406
 20240501 02:02      80.2910 -49.4787
 20240501 02:04      80.6627 -49.1163
 20240501 02:06      81.0309 -48.7535
 20240501 02:08      81.3957 -48.3904
 20240501 02:10      81.7572 -48.0268
 20240501 02:12      82.1155 -47.6629
 20240501 02:14      82.4707 -47.2987
 20240501 02:16      82.8229 -46.9342
 20240501 02:18      83.1721 -46.5693
 20240501 02:20      83.5185 -46.2042
 20240501 02:22      83.8622 -45.8388
 20240501 02:24      84.2032 -45.4731
 20240501 02:26      84.5415 -45.1072
 20240501 02:28      84.8774 -44.7411
 20240501 02:30      85.2108 -44.3748
 20240501 02:32      85.5418 -44.0082
 20240501 02:34      85.8705 -43.6415
 20240501 02:36      86.1969 -43.2745
 20240501 02:38      86.5212 -42.9074
 20240501 02:40      86.8433 -42.5402
 20240501 02:42      87.1634 -42.1728
 20240501 02:44      87.4815 -41.8053
 20240501 02:46      87.7977 -41.4377
 20240501 02:48      88.1120 -41.0699
 20240501 02:50      88.4244 -40.7021
 20240501 02:52      88.7352 -40.3341
 20240501 02:54      89.0442 -39.9661
 20240501 02:56      89.3515 -39.5981
 20240501 02:58      89.6573 -39.2299
 20240501 03:00      89.9614 -38.8618
 20240501 03:02      90.2641 -38.4936
 20240501 03:04      90.5653 -38.1253
 20240501 03:06      90.8651 -37.7571
 20240501 03:08      91.1636 -37.3889
 20240501 03:10      91.4607 -37.0206
 20240501 03:12      91.7565 -36.6524
 20240501 03:14      92.0511 -36.2842
 20240501 03:16      92.3445 -35.9160
 20240501 03:18      92.6368 -35.5478
 20240501 03:20      92.9279 -35.1798
 20240501 03:22      93.2180 -34.8117
 20240501 03:24      93.5070 -34.4438
 20240501 03:26      93.7950 -34.0759
 20240501 03:28      94.0821 -33.7081
 20240501 03:30      94.3682 -33.3403
 20240501 03:32      94.6535 -32.9727
 20240501 03:34      94.9379 -32.6052
 20240501 03:36      95.2214 -32.2378
 20240501 03:38      95.5042 -31.8706
 20240501 03:40      95.7862 -31.5034
 20240501 03:42      96.0675 -31.1364
 20240501 03:44      96.3481 -30.7696
 20240501 03:46      96.6281 -30.4029
 20240501 03:48      96.9074 -30.0364
 20240501 03:50      97.1861 -29.6701
 20240501 03:52      97.4643 -29.3039
 20240501 03:54      97.7419 -28.9379
 20240501 03:56      98.0190 -28.5722
 20240501 03:58      98.2956 -28.2066
 20240501 04:00      98.5717 -27.8412
 20240501 04:02      98.8474 -27.4761
 20240501 04:04      99.1227 -27.1112
 20240501 04:06      99.3977 -26.7465
 20240501 04:08      99.6723 -26.3821
 20240501 04:10      99.9465 -26.0179
 20240501 04:12     100.2205 -25.6540
 20240501 04:14     100.4942 -25.2903
 20240501 04:16     100.7676 -24.9270
 20240501 04:18     101.0408 -24.5639
 20240501 04:20     101.3138 -24.2011
 20240501 04:22     101.5866 -23.8386
 20240501 04:24     101.8593 -23.4764
 20240501 04:26     102.1319 -23.1145
 20240501 04:28     102.4043 -22.7529
 20240501 04:30     102.6766 -22.3917
 20240501 04:32     102.9489 -22.0308
 20240501 04:34     103.2211 -21.6703
 20240501 04:36     103.4934 -21.3101
 20240501 04:38     103.7656 -20.9502
 20240501 04:40     104.0378 -20.5908
 20240501 04:42     104.3101 -20.2317
 20240501 04:44     104.5825 -19.8730
 20240501 04:46     104.8549 -19.5147
 20240501 04:48     105.1274 -19.1568
 20240501 04:50     105.4001 -18.7993
 20240501 04:52     105.6729 -18.4422
 20240501 04:54     105.9459 -18.0855
 20240501 04:56     106.2191 -17.7293
 20240501 04:58     106.4925 -17.3735
 20240501 05:00     106.7661 -17.0182
 20240501 05:02     107.0399 -16.6633
 20240501 05:04     107.3140 -16.3089
 20240501 05:06     107.5884 -15.9550
 20240501 05:08     107.8631 -15.6016
 20240501 05:10     108.1382 -15.2486
 20240501 05:12     108.4135 -14.8962
 20240501 05:14     108.6892 -14.5442
 20240501 05:16     108.9653 -14.1928
 20240501 05:18     109.2418 -13.8419
 20240501 05:20     109.5187 -13.4916
 20240501 05:22     109.7961 -13.1418
 20240501 05:24     110.0739 -12.7925
 20240501 05:26     110.3521 -12.4439
 20240501 05:28     110.6309 -12.0957
 20240501 05:30     110.9102 -11.7482
 20240501 05:32     111.1899 -11.4013
 20240501 05:34     111.4702 -11.0550
 20240501 05:36     111.7511 -10.7092
 20240501 05:38     112.0326 -10.3641
 20240501 05:40     112.3146 -10.0197
 20240501 05:42     112.5973  -9.6759
 20240501 05:44     112.8805  -9.3327
 20240501 05:46     113.1645  -8.9902
 20240501 05:48     113.4490  -8.6483
 20240501 05:50     113.7343  -8.3071
 20240501 05:52     114.0203  -7.9667
 20240501 05:54     114.3069  -7.6269
 20240501 05:56     114.5943  -7.2878
 20240501 05:58     114.8825  -6.9495
 20240501 06:00     115.1714  -6.6119
 20240501 06:02     115.4611  -6.2750
 20240501 06:04     115.7516  -5.9389
 20240501 06:06     116.0429  -5.6036
 20240501 06:08     116.3350  -5.2690
 20240501 06:10     116.6280  -4.9352
 20240501 06:12     116.9218  -4.6022
 20240501 06:14     117.2166  -4.2701
 20240501 06:16     117.5122  -3.9387
