 2017-Mar-05 03:04  m  264.9184  31.1074
 2017-Mar-05 03:06  m  265.2546  30.7430
 2017-Mar-05 03:08  m  265.5892  30.3784
 2017-Mar-05 03:10  m  265.9223  30.0137
 2017-Mar-05 03:12  m  266.2539  29.6489
 2017-Mar-05 03:14  m  266.5840  29.2839
 2017-Mar-05 03:16  m  266.9128  28.9189
 2017-Mar-05 03:18  m  267.2401  28.5538
 2017-Mar-05 03:20  m  267.5662  28.1886
 2017-Mar-05 03:22  m  267.8909  27.8233
 2017-Mar-05 03:24  m  268.2144  27.4580
 2017-Mar-05 03:26  m  268.5367  27.0927
 2017-Mar-05 03:28  m  268.8578  26.7274
 2017-Mar-05 03:30  m  269.1778  26.3621
 2017-Mar-05 03:32  m  269.4966  25.9967
 2017-Mar-05 03:34  m  269.8145  25.6314
 2017-Mar-05 03:36  m  270.1313  25.2661
 2017-Mar-05 03:38  m  270.4471  24.9009
 2017-Mar-05 03:40  m  270.7619  24.5357
 2017-Mar-05 03:42  m  271.0758  24.1706
 2017-Mar-05 03:44  m  271.3888  23.8055
 2017-Mar-05 03:46  m  271.7010  23.4406
 2017-Mar-05 03:48  m  272.0124  23.0757
 2017-Mar-05 03:50  m  272.3229  22.7109
 2017-Mar-05 03:52  m  272.6327  22.3463
 2017-Mar-05 03:54  m  272.9418  21.9817
 2017-Mar-05 03:56  m  273.2501  21.6174
 2017-Mar-05 03:58  m  273.5578  21.2531
 2017-Mar-05 04:00  m  273.8649  20.8890
 2017-Mar-05 04:02  m  274.1714  20.5251
 2017-Mar-05 04:04  m  274.4772  20.1614
 2017-Mar-05 04:06  m  274.7826  19.7979
 2017-Mar-05 04:08  m  275.0874  19.4346
 2017-Mar-05 04:10  m  275.3917  19.0714
 2017-Mar-05 04:12  m  275.6955  18.7085
 2017-Mar-05 04:14  m  275.9989  18.3459
 2017-Mar-05 04:16  m  276.3019  17.9834
 2017-Mar-05 04:18  m  276.6045  17.6213
 2017-Mar-05 04:20  m  276.9068  17.2593
 2017-Mar-05 04:22  m  277.2087  16.8977
 2017-Mar-05 04:24  m  277.5103  16.5363
 2017-Mar-05 04:26  m  277.8117  16.1753
 2017-Mar-05 04:28  m  278.1127  15.8145
 2017-Mar-05 04:30  m  278.4136  15.4540
