 2020-Dec-05 04:12  m   83.6067  26.5226
 2020-Dec-05 04:14  m   83.9043  26.8863
 2020-Dec-05 04:16  m   84.2026  27.2503
 2020-Dec-05 04:18  m   84.5016  27.6145
 2020-Dec-05 04:20  m   84.8014  27.9789
 2020-Dec-05 04:22  m   85.1020  28.3435
 2020-Dec-05 04:24  m   85.4034  28.7083
 2020-Dec-05 04:26  m   85.7056  29.0733
 2020-Dec-05 04:28  m   86.0088  29.4385
 2020-Dec-05 04:30  m   86.3128  29.8039
 2020-Dec-05 04:32  m   86.6179  30.1694
 2020-Dec-05 04:34  m   86.9239  30.5350
 2020-Dec-05 04:36  m   87.2310  30.9008
 2020-Dec-05 04:38  m   87.5391  31.2668
 2020-Dec-05 04:40  m   87.8484  31.6328
 2020-Dec-05 04:42  m   88.1588  31.9990
 2020-Dec-05 04:44  m   88.4704  32.3652
 2020-Dec-05 04:46  m   88.7833  32.7316
 2020-Dec-05 04:48  m   89.0974  33.0980
 2020-Dec-05 04:50  m   89.4128  33.4645
 2020-Dec-05 04:52  m   89.7295  33.8310
 2020-Dec-05 04:54  m   90.0477  34.1976
 2020-Dec-05 04:56  m   90.3673  34.5642
 2020-Dec-05 04:58  m   90.6884  34.9308
 2020-Dec-05 05:00  m   91.0111  35.2974
 2020-Dec-05 05:02  m   91.3353  35.6641
 2020-Dec-05 05:04  m   91.6612  36.0307
 2020-Dec-05 05:06  m   91.9887  36.3972
 2020-Dec-05 05:08  m   92.3180  36.7638
 2020-Dec-05 05:10  m   92.6491  37.1302
 2020-Dec-05 05:12  m   92.9820  37.4966
 2020-Dec-05 05:14  m   93.3168  37.8630
 2020-Dec-05 05:16  m   93.6535  38.2292
 2020-Dec-05 05:18  m   93.9923  38.5953
 2020-Dec-05 05:20  m   94.3331  38.9613
 2020-Dec-05 05:22  m   94.6760  39.3271
 2020-Dec-05 05:24  m   95.0211  39.6928
 2020-Dec-05 05:26  m   95.3685  40.0583
 2020-Dec-05 05:28  m   95.7181  40.4237
 2020-Dec-05 05:30  m   96.0702  40.7888
 2020-Dec-05 05:32  m   96.4246  41.1538
 2020-Dec-05 05:34  m   96.7816  41.5185
 2020-Dec-05 05:36  m   97.1412  41.8829
 2020-Dec-05 05:38  m   97.5034  42.2471
 2020-Dec-05 05:40  m   97.8683  42.6110
 2020-Dec-05 05:42  m   98.2360  42.9746
 2020-Dec-05 05:44  m   98.6067  43.3379
 2020-Dec-05 05:46  m   98.9802  43.7008
 2020-Dec-05 05:48  m   99.3568  44.0634
 2020-Dec-05 05:50  m   99.7365  44.4256
 2020-Dec-05 05:52  m  100.1195  44.7874
