 2020-Sep-05 03:40  m  113.6934  26.6960
 2020-Sep-05 03:42  m  114.0838  27.0402
 2020-Sep-05 03:44  m  114.4766  27.3833
 2020-Sep-05 03:46  m  114.8718  27.7255
 2020-Sep-05 03:48  m  115.2695  28.0666
 2020-Sep-05 03:50  m  115.6696  28.4066
 2020-Sep-05 03:52  m  116.0723  28.7456
 2020-Sep-05 03:54  m  116.4775  29.0834
 2020-Sep-05 03:56  m  116.8854  29.4201
 2020-Sep-05 03:58  m  117.2959  29.7557
 2020-Sep-05 04:00  m  117.7091  30.0901
 2020-Sep-05 04:02  m  118.1251  30.4233
 2020-Sep-05 04:04  m  118.5440  30.7552
 2020-Sep-05 04:06  m  118.9656  31.0859
 2020-Sep-05 04:08  m  119.3901  31.4153
 2020-Sep-05 04:10  m  119.8176  31.7434
 2020-Sep-05 04:12  m  120.2481  32.0701
 2020-Sep-05 04:14  m  120.6816  32.3955
 2020-Sep-05 04:16  m  121.1182  32.7195
 2020-Sep-05 04:18  m  121.5579  33.0420
 2020-Sep-05 04:20  m  122.0008  33.3631
 2020-Sep-05 04:22  m  122.4470  33.6827
 2020-Sep-05 04:24  m  122.8964  34.0008
 2020-Sep-05 04:26  m  123.3491  34.3174
 2020-Sep-05 04:28  m  123.8052  34.6323
 2020-Sep-05 04:30  m  124.2647  34.9457
 2020-Sep-05 04:32  m  124.7277  35.2574
 2020-Sep-05 04:34  m  125.1942  35.5674
 2020-Sep-05 04:36  m  125.6643  35.8757
 2020-Sep-05 04:38  m  126.1380  36.1823
 2020-Sep-05 04:40  m  126.6153  36.4871
 2020-Sep-05 04:42  m  127.0964  36.7901
 2020-Sep-05 04:44  m  127.5812  37.0912
 2020-Sep-05 04:46  m  128.0698  37.3905
 2020-Sep-05 04:48  m  128.5623  37.6878
 2020-Sep-05 04:50  m  129.0586  37.9831
 2020-Sep-05 04:52  m  129.5589  38.2765
 2020-Sep-05 04:54  m  130.0632  38.5678
 2020-Sep-05 04:56  m  130.5716  38.8571
 2020-Sep-05 04:58  m  131.0840  39.1442
 2020-Sep-05 05:00  m  131.6006  39.4292
 2020-Sep-05 05:02  m  132.1213  39.7120
 2020-Sep-05 05:04  m  132.6463  39.9925
 2020-Sep-05 05:06  m  133.1755  40.2707
 2020-Sep-05 05:08  m  133.7090  40.5467
 2020-Sep-05 05:10  m  134.2468  40.8202
 2020-Sep-05 05:12  m  134.7891  41.0914
 2020-Sep-05 05:14  m  135.3357  41.3601
 2020-Sep-05 05:16  m  135.8868  41.6263
 2020-Sep-05 05:18  m  136.4424  41.8899
 2020-Sep-05 05:20  m  137.0026  42.1510
 2020-Sep-05 05:22  m  137.5673  42.4094
 2020-Sep-05 05:24  m  138.1365  42.6652
 2020-Sep-05 05:26  m  138.7105  42.9182
 2020-Sep-05 05:28  m  139.2890  43.1684
 2020-Sep-05 05:30  m  139.8723  43.4158
 2020-Sep-05 05:32  m  140.4602  43.6604
 2020-Sep-05 05:34  m  141.0529  43.9020
 2020-Sep-05 05:36  m  141.6503  44.1406
 2020-Sep-05 05:38  m  142.2525  44.3762
 2020-Sep-05 05:40  m  142.8594  44.6088
 2020-Sep-05 05:42  m  143.4712  44.8382
 2020-Sep-05 05:44  m  144.0877  45.0644
 2020-Sep-05 05:46  m  144.7091  45.2874
 2020-Sep-05 05:48  m  145.3353  45.5072
 2020-Sep-05 05:50  m  145.9663  45.7236
 2020-Sep-05 05:52  m  146.6021  45.9366
 2020-Sep-05 05:54  m  147.2427  46.1462
 2020-Sep-05 05:56  m  147.8881  46.3522
 2020-Sep-05 05:58  m  148.5384  46.5548
 2020-Sep-05 06:00  m  149.1934  46.7538
 2020-Sep-05 06:02  m  149.8531  46.9491
 2020-Sep-05 06:04  m  150.5176  47.1407
 2020-Sep-05 06:06  m  151.1868  47.3286
 2020-Sep-05 06:08  m  151.8607  47.5127
 2020-Sep-05 06:10  m  152.5392  47.6929
 2020-Sep-05 06:12  m  153.2223  47.8692
 2020-Sep-05 06:14  m  153.9100  48.0416
 2020-Sep-05 06:16  m  154.6022  48.2100
 2020-Sep-05 06:18  m  155.2989  48.3743
 2020-Sep-05 06:20  m  156.0000  48.5345
 2020-Sep-05 06:22  m  156.7054  48.6905
 2020-Sep-05 06:24  m  157.4151  48.8423
 2020-Sep-05 06:26  m  158.1290  48.9899
 2020-Sep-05 06:28  m  158.8471  49.1332
 2020-Sep-05 06:30  m  159.5692  49.2721
 2020-Sep-05 06:32  m  160.2952  49.4067
 2020-Sep-05 06:34  m  161.0252  49.5368
 2020-Sep-05 06:36  m  161.7590  49.6624
 2020-Sep-05 06:38  m  162.4964  49.7835
 2020-Sep-05 06:40  m  163.2374  49.9000
 2020-Sep-05 06:42  m  163.9819  50.0119
 2020-Sep-05 06:44  m  164.7298  50.1191
 2020-Sep-05 06:46  m  165.4809  50.2217
 2020-Sep-05 06:48  m  166.2352  50.3195
 2020-Sep-05 06:50  m  166.9925  50.4126
 2020-Sep-05 06:52  m  167.7526  50.5008
 2020-Sep-05 06:54  m  168.5154  50.5843
 2020-Sep-05 06:56  m  169.2809  50.6629
 2020-Sep-05 06:58  m  170.0488  50.7365
 2020-Sep-05 07:00  m  170.8191  50.8053
 2020-Sep-05 07:02  m  171.5915  50.8691
 2020-Sep-05 07:04  m  172.3659  50.9280
 2020-Sep-05 07:06  m  173.1422  50.9818
 2020-Sep-05 07:08  m  173.9201  51.0306
 2020-Sep-05 07:10  m  174.6996  51.0744
 2020-Sep-05 07:12  m  175.4805  51.1132
 2020-Sep-05 07:14  m  176.2626  51.1469
 2020-Sep-05 07:16  m  177.0457  51.1755
 2020-Sep-05 07:18  m  177.8297  51.1990
 2020-Sep-05 07:20  m  178.6144  51.2174
 2020-Sep-05 07:22  m  179.3997  51.2307
 2020-Sep-05 07:24  m  180.1853  51.2389
 2020-Sep-05 07:26  m  180.9711  51.2419
 2020-Sep-05 07:28  t  181.7569  51.2399
 2020-Sep-05 07:30  m  182.5425  51.2327
 2020-Sep-05 07:32  m  183.3278  51.2205
 2020-Sep-05 07:34  m  184.1126  51.2031
 2020-Sep-05 07:36  m  184.8967  51.1806
 2020-Sep-05 07:38  m  185.6800  51.1531
 2020-Sep-05 07:40  m  186.4623  51.1205
 2020-Sep-05 07:42  m  187.2433  51.0828
 2020-Sep-05 07:44  m  188.0231  51.0400
 2020-Sep-05 07:46  m  188.8013  50.9923
 2020-Sep-05 07:48  m  189.5778  50.9395
 2020-Sep-05 07:50  m  190.3526  50.8817
 2020-Sep-05 07:52  m  191.1253  50.8190
 2020-Sep-05 07:54  m  191.8959  50.7514
 2020-Sep-05 07:56  m  192.6642  50.6788
 2020-Sep-05 07:58  m  193.4301  50.6013
 2020-Sep-05 08:00  m  194.1934  50.5190
 2020-Sep-05 08:02  m  194.9540  50.4319
 2020-Sep-05 08:04  m  195.7118  50.3400
 2020-Sep-05 08:06  m  196.4666  50.2434
 2020-Sep-05 08:08  m  197.2183  50.1420
 2020-Sep-05 08:10  m  197.9668  50.0359
 2020-Sep-05 08:12  m  198.7119  49.9252
 2020-Sep-05 08:14  m  199.4536  49.8100
 2020-Sep-05 08:16  m  200.1918  49.6901
 2020-Sep-05 08:18  m  200.9262  49.5658
 2020-Sep-05 08:20  m  201.6570  49.4370
 2020-Sep-05 08:22  m  202.3838  49.3037
 2020-Sep-05 08:24  m  203.1068  49.1661
 2020-Sep-05 08:26  m  203.8257  49.0242
 2020-Sep-05 08:28  m  204.5405  48.8779
 2020-Sep-05 08:30  m  205.2511  48.7275
 2020-Sep-05 08:32  m  205.9575  48.5728
 2020-Sep-05 08:34  m  206.6596  48.4141
 2020-Sep-05 08:36  m  207.3573  48.2512
 2020-Sep-05 08:38  m  208.0505  48.0843
 2020-Sep-05 08:40  m  208.7393  47.9134
 2020-Sep-05 08:42  m  209.4236  47.7386
 2020-Sep-05 08:44  m  210.1033  47.5599
 2020-Sep-05 08:46  m  210.7784  47.3774
 2020-Sep-05 08:48  m  211.4488  47.1911
 2020-Sep-05 08:50  m  212.1146  47.0010
 2020-Sep-05 08:52  m  212.7757  46.8074
 2020-Sep-05 08:54  m  213.4320  46.6100
 2020-Sep-05 08:56  m  214.0837  46.4092
 2020-Sep-05 08:58  m  214.7305  46.2048
 2020-Sep-05 09:00  m  215.3726  45.9969
 2020-Sep-05 09:02  m  216.0100  45.7857
 2020-Sep-05 09:04  m  216.6425  45.5711
 2020-Sep-05 09:06  m  217.2703  45.3532
 2020-Sep-05 09:08 Am  217.8933  45.1320
 2020-Sep-05 09:10 Am  218.5115  44.9077
 2020-Sep-05 09:12 Am  219.1250  44.6801
 2020-Sep-05 09:14 Am  219.7337  44.4495
 2020-Sep-05 09:16 Am  220.3377  44.2159
 2020-Sep-05 09:18 Am  220.9370  43.9793
 2020-Sep-05 09:20 Am  221.5316  43.7397
 2020-Sep-05 09:22 Am  222.1214  43.4972
 2020-Sep-05 09:24 Am  222.7067  43.2519
 2020-Sep-05 09:26 Am  223.2872  43.0038
 2020-Sep-05 09:28 Am  223.8632  42.7529
 2020-Sep-05 09:30 Am  224.4346  42.4994
 2020-Sep-05 09:32 Am  225.0015  42.2432
 2020-Sep-05 09:34 Am  225.5638  41.9843
 2020-Sep-05 09:36 Am  226.1216  41.7230
 2020-Sep-05 09:38 Am  226.6750  41.4591
 2020-Sep-05 09:40 Am  227.2240  41.1928
 2020-Sep-05 09:42 Nm  227.7686  40.9240
 2020-Sep-05 09:44 Nm  228.3089  40.6529
 2020-Sep-05 09:46 Nm  228.8449  40.3794
 2020-Sep-05 09:48 Nm  229.3766  40.1036
 2020-Sep-05 09:50 Nm  229.9041  39.8256
 2020-Sep-05 09:52 Nm  230.4275  39.5454
 2020-Sep-05 09:54 Nm  230.9467  39.2630
 2020-Sep-05 09:56 Nm  231.4618  38.9785
 2020-Sep-05 09:58 Nm  231.9729  38.6920
 2020-Sep-05 10:00 Nm  232.4800  38.4034
 2020-Sep-05 10:02 Nm  232.9832  38.1128
 2020-Sep-05 10:04 Nm  233.4825  37.8202
 2020-Sep-05 10:06 Nm  233.9779  37.5257
 2020-Sep-05 10:08 Nm  234.4695  37.2293
 2020-Sep-05 10:10 Nm  234.9573  36.9311
 2020-Sep-05 10:12 Nm  235.4415  36.6310
 2020-Sep-05 10:14 Nm  235.9220  36.3292
 2020-Sep-05 10:16 Cm  236.3988  36.0257
 2020-Sep-05 10:18 Cm  236.8721  35.7204
 2020-Sep-05 10:20 Cm  237.3419  35.4135
 2020-Sep-05 10:22 Cm  237.8082  35.1049
 2020-Sep-05 10:24 Cm  238.2711  34.7947
 2020-Sep-05 10:26 Cm  238.7307  34.4830
 2020-Sep-05 10:28 Cm  239.1869  34.1697
 2020-Sep-05 10:30 Cm  239.6398  33.8549
 2020-Sep-05 10:32 Cm  240.0896  33.5387
 2020-Sep-05 10:34 Cm  240.5361  33.2210
 2020-Sep-05 10:36 Cm  240.9795  32.9019
 2020-Sep-05 10:38 Cm  241.4199  32.5814
 2020-Sep-05 10:40 Cm  241.8572  32.2595
 2020-Sep-05 10:42 Cm  242.2915  31.9363
 2020-Sep-05 10:44 *m  242.7229  31.6119
 2020-Sep-05 10:46 *m  243.1514  31.2861
 2020-Sep-05 10:48 *m  243.5771  30.9591
 2020-Sep-05 10:50 *m  243.9999  30.6309
 2020-Sep-05 10:52 *m  244.4200  30.3016
 2020-Sep-05 10:54 *m  244.8375  29.9710
 2020-Sep-05 10:56 *m  245.2522  29.6393
 2020-Sep-05 10:58 *m  245.6644  29.3065
 2020-Sep-05 11:00 *m  246.0739  28.9727
 2020-Sep-05 11:02 *m  246.4810  28.6377
 2020-Sep-05 11:04 *m  246.8856  28.3018
 2020-Sep-05 11:06 *m  247.2877  27.9648
 2020-Sep-05 11:08 *m  247.6875  27.6268
 2020-Sep-05 11:10 *m  248.0849  27.2879
 2020-Sep-05 11:12 *m  248.4800  26.9480
 2020-Sep-05 11:14 *m  248.8729  26.6072
 2020-Sep-05 11:16 *m  249.2635  26.2655
 2020-Sep-05 11:18 *m  249.6520  25.9229
 2020-Sep-05 11:20 *m  250.0383  25.5795
 2020-Sep-05 11:22 *m  250.4225  25.2352
 2020-Sep-05 11:24 *m  250.8047  24.8901
 2020-Sep-05 11:26 *m  251.1849  24.5442
 2020-Sep-05 11:28 *m  251.5631  24.1976
 2020-Sep-05 11:30 *m  251.9393  23.8502
 2020-Sep-05 11:32 *m  252.3137  23.5021
 2020-Sep-05 11:34 *m  252.6862  23.1532
 2020-Sep-05 11:36 *m  253.0569  22.8037
 2020-Sep-05 11:38 *m  253.4259  22.4535
 2020-Sep-05 11:40 *m  253.7931  22.1026
 2020-Sep-05 11:42 *m  254.1586  21.7511
 2020-Sep-05 11:44 *m  254.5224  21.3989
 2020-Sep-05 11:46 *m  254.8846  21.0462
 2020-Sep-05 11:48 *m  255.2452  20.6929
 2020-Sep-05 11:50 *m  255.6043  20.3390
 2020-Sep-05 11:52 *m  255.9618  19.9845
 2020-Sep-05 11:54 *m  256.3179  19.6296
 2020-Sep-05 11:56 *m  256.6725  19.2741
 2020-Sep-05 11:58 *m  257.0257  18.9181
 2020-Sep-05 12:00 *m  257.3776  18.5616
 2020-Sep-05 12:02 *m  257.7281  18.2046
 2020-Sep-05 12:04 *m  258.0772  17.8472
 2020-Sep-05 12:06 *m  258.4252  17.4893
 2020-Sep-05 12:08 *m  258.7718  17.1311
 2020-Sep-05 12:10 *m  259.1173  16.7724
 2020-Sep-05 12:12 *m  259.4616  16.4133
 2020-Sep-05 12:14 *m  259.8047  16.0538
 2020-Sep-05 12:16 *m  260.1468  15.6940
 2020-Sep-05 12:18 *m  260.4877  15.3339
 2020-Sep-05 12:20 *m  260.8276  14.9734
 2020-Sep-05 12:22 *m  261.1665  14.6125
 2020-Sep-05 12:24 *m  261.5045  14.2514
 2020-Sep-05 12:26 *m  261.8414  13.8900
 2020-Sep-05 12:28 *m  262.1775  13.5283
 2020-Sep-05 12:30 *m  262.5126  13.1663
 2020-Sep-05 12:32 *m  262.8469  12.8041
 2020-Sep-05 12:34 *m  263.1804  12.4417
 2020-Sep-05 12:36 *m  263.5131  12.0790
 2020-Sep-05 12:38 *m  263.8450  11.7161
 2020-Sep-05 12:40 *m  264.1761  11.3530
 2020-Sep-05 12:42 *m  264.5066  10.9897
 2020-Sep-05 12:44 *m  264.8364  10.6263
 2020-Sep-05 12:46 *m  265.1655  10.2627
 2020-Sep-05 12:48 *m  265.4940   9.8990
 2020-Sep-05 12:50 *m  265.8219   9.5351
